INSERT INTO Engagement (engagement_id, post_id, likes, comments, shares) VALUES
(1,1,120,30,15),
(2,2,95,20,10),
(3,3,150,45,25),
(4,4,80,15,8),
(5,5,60,10,5),
(6,6,140,35,18),
(7,7,110,25,12),
(8,8,75,12,6),
(9,9,160,50,30),
(10,10,90,18,9),

(11,11,130,28,14),
(12,12,170,55,32),
(13,13,85,16,7),
(14,14,95,22,11),
(15,15,140,34,17),
(16,16,155,40,20),
(17,17,100,21,10),
(18,18,120,26,13),
(19,19,135,33,16),
(20,20,80,15,8),

(21,21,145,38,19),
(22,22,90,17,9),
(23,23,170,60,35),
(24,24,110,27,12),
(25,25,95,18,9),
(26,26,125,30,15),
(27,27,85,14,6),
(28,28,160,48,26),
(29,29,140,36,18),
(30,30,105,22,11),

(31,31,150,44,24),
(32,32,115,29,14),
(33,33,135,31,16),
(34,34,90,19,9),
(35,35,70,11,5),
(36,36,120,25,12),
(37,37,140,33,17),
(38,38,85,15,7),
(39,39,160,46,28),
(40,40,100,20,10),

(41,41,130,28,13),
(42,42,95,18,8),
(43,43,150,39,21),
(44,44,110,24,12),
(45,45,125,30,15),
(46,46,170,52,33),
(47,47,140,35,19),
(48,48,155,41,22),
(49,49,90,17,9),
(50,50,180,65,40);
